Card Name,Card Link,ÁTE tájékoztatás,EREN-re vihető,Veszély típusa 3.,Veszély típusa 2.,Veszély típusa,Veszély jellemzése,Keywords,2. SZŰRÉS,Tájékoztató kész,"Dokumentum, publikáció az üggyel kapcsolatban 2.",Információforrás megnevezése/affiliációja,Információ elsődleges forrása,"Dokumentum, publikáció az üggyel kapcsolatban",Intézkedés megtörtént,További intézkedések,2. SZŰRÉS Kockázatkezelési lehetőség ismert?,2. SZŰRÉS Súlyosság,2. SZŰRÉS Mérték,2. SZŰRÉS Időbeli közelség,2. SZŰRÉS Megalapozottság,2. SZŰRÉS összpontszáma,1. SZŰRÉS,2. SZŰRÉS EREDMÉNYE,1. SZŰRÉS eredménye,Előszűrés,Titkos ügykezelést igényel,Esemény típusa,Újraértékelés rendszeressége,"Dokumentum, publikáció az üggyel kapcsolatban 3.",Milyen driver hat rá?,Driver hatás,1. SZŰRÉS indoklása,Esemény (kockázat megjelenésének) dátuma,Információhoz való hozzáférés dátuma,Intézkedés leírása,Minek köszönhető a megnövekedett kitettség/érzékenység?,Signal,Értesítendő szerv,Előszűrés indoklása,HAZARDcat 1,PRODcat 1,DRIVERs 1,EREN status,HAZARDcat 2,PRODcat 2,DRIVERs 2,NÉBIH tájékoztatás,2. SZŰRÉS indoklása,Jelezni kell társintézménynek
Report: The state of soils in Europe,https://trello.com/c/678f5da3a6b66a94e221b544,,,,,Egyéb,"Food Safety and Quality: The presence of pesticide residues and other pollutants in agricultural soils can lead to contaminated food products, posing risks to human health through the consumption of unsafe crops.    Nutrient Imbalance: Excessive nitrogen and phosphorus inputs can contribute to nutrient imbalances in food, potentially impacting human health through issues like increased risk of certain diseases or dietary deficiencies.    Water Quality: Soil degradation can lead to increased runoff and erosion, which may contaminate water sources with pollutants. This can affect drinking water quality and contribute to waterborne diseases.    Ecosystem Health: Degraded soils can harm biodiversity and disrupt ecosystems. This can have indirect health effects, as healthy ecosystems are essential for services like pollination and pest control.    Air Quality: Soil erosion can lead to dust and particulate matter being released into the air, which can contribute to respiratory issues and other health problems.    Social Impacts: Soil degradation can exacerbate socio-economic disparities, leading to food insecurity and health disparities in vulnerable populations.",#SoilDegradation #Europe #WarfareImpacts #Ukraine #JointResearchCentre #JRC #EuropeanEnvironmentAgency #EEA #PolicyMeasures #SoilMonitoring #SustainableLandManagement #CrossSectoralCollaboration #SoilFriendlyPractices #NitrogenInputs #PhosphorusSurpluses #PesticideResidues #SoilSealing #KnowledgeGaps #PublicEngagement #ResearchAndInnovation #EnvironmentalConcerns #SoilResilience,,true,,EMM,Médiából,,,,,4,3,4,4,15,Ismert veszély és megnövekedett érzékenység,,II. FÁZIS,,,Gazdasági és egészségügyi,,,,,,,2025-01-14 11:00:00+00:00,,,true,,,1 Safety,2.1 Plants and Food of plant origin,8. Climate change,,1.2.2 Agricultural contaminants,2.2 Food of animal origin,9.2 Increasing scarcity of fertile soils,,,
Analysis of uptake of tralopyril and transformation products in salmon exposed to tralopyril coated net pen,https://trello.com/c/67430d4d245867fb34a252d3,,,,,Kémiai veszély,"Bioaccumulation in Fish: Tralopyril and its degradation products can accumulate in the muscle tissue of salmon, raising concerns about residue levels in the fish consumed by humans.    Food Safety: The lack of established maximum residue limits (MRLs) for tralopyril complicates risk assessments for human consumption, potentially exposing consumers to unsafe levels of the chemical.    Transformation Products: The presence of transformation products like HTFCCP, which may have unknown toxicological effects, adds uncertainty regarding the overall safety of salmon exposed to tralopyril.    Chemical Exposure: The possibility of tralopyril leaching into surrounding water can impact the broader ecosystem, which may, in turn, affect human health via contaminated water sources or other aquatic species consumed by humans.    Ecotoxicological Risks: Increased use of tralopyril may pose risks to non-target aquatic organisms, potentially disrupting ecosystems that indirectly affect human health through biodiversity loss or alterations in food chains.",#tralopyril #aquaculture #bioaccumulation #salmon #antifouling #food safety #environmental impact #transformation products #maximum residue limits #analytical methods,,true,,EMM,Médiából,Médiamegjelenés,,,,2,3,3,3,11,Ismert veszély és megnövekedett érzékenység,,II. FÁZIS,,,,,,,,,,2024-11-18 11:00:00+00:00,,,,,,1. Chemical Hazards,2.2.1.4 Fish and Fish Products,2.5 Increasing Cooperation in Setting Standards for Safe Food,More information needed,,2.2.1.5 Seafood and Seafood Products,4.2 Industrialisation of Agriculture,,,
Will the world accept that biodiversity loss is just as big an existential threat as global warming?,https://trello.com/c/63cf9d2dd115926085380788,Kész,,,,Biológiai veszély,"Spread of Diseases: Disrupted ecosystems can lead to increased contact between humans and wildlife, potentially spreading zoonotic diseases (e.g., COVID-19, Ebola).    Food Security: Biodiversity is crucial for agriculture. Loss of species can lead to reduced crop variety and resilience, impacting food supply and nutrition.    Water Quality: Healthy ecosystems, like wetlands and forests, play a vital role in water purification. Their degradation can lead to poor water quality and associated health issues.    Air Quality: Loss of vegetation, especially forests, can reduce air quality, increasing respiratory diseases.    Medicinal Resources: Many medicines are derived from plants and animals. Biodiversity loss can limit the discovery of new medical treatments.    Mental Health: Nature and biodiversity have been linked to improved mental well-being. Their decline can negatively impact mental health.",#biodiversity#extinction#Cop15#genetic resources,,true,,EMM,Médiából,Médiamegjelenés,true,,,3,,,,,Nem ER,,,Továbbkerül az I. FÁZIS-ba,,,,,önmaga egy driver,,,,2023-01-17 11:00:00+00:00,,,true,,,Agricultural Contaminants (1.2.2),2.1 Plants and Food of plant origin,9.5 Diminishing biodiversity and ecosystem services,,Pesticide Residues (1.2.3.1),2.2.1.4 Fish and fish products,8. Climate change,,,
Antibiotic Residues in UK Foods: Exploring the Exposure Pathways and Associated Health Risks,https://trello.com/c/65f00f1cb1b3f950f5ea0212,,,,,Állatgyógyászati szermaradék,"Antibiotic Resistance: Consuming antibiotics in food can contribute to the development of antibiotic-resistant bacteria, making infections harder to treat.    Allergic Reactions: Some individuals may experience allergic reactions to antibiotic residues in food.    Microbiome Imbalance: Regular exposure to antibiotics can disrupt the balance of beneficial bacteria in the human gut, potentially leading to digestive issues and weakened immune function.    Toxicity: High levels of antibiotic residues may lead to toxic effects, particularly if the acceptable daily intake levels are exceeded.    Public Health Impact: Widespread antibiotic use in food production can have broader public health implications, increasing the burden of resistant infections and healthcare costs.",#antibiotic residues#amoxicillin#ampicillin#enfloxacin,,,,EMM,Szakfolyóiratból,Publikáció,,,,3,4,3,3,13,Ismert veszély és megnövekedett kitettség,,II. FÁZIS,,,,,,,,,,2024-03-05 11:00:00+00:00,,,,,,1.2.3.2 Residues of veterinary medicinal products,2.2 Food of animal origin,4.2 Industrialization of agriculture,,,,,,,
How the FDA lets chemicals pour into America's food supply,https://trello.com/c/68074c42e83f3aa35cf11612,,,,Kémiai veszély,Adalékanyag,"A range of food ingredients and additives can be found on the US market, which have not undergone FDA review and may pose health risks to consumers. It is a problem of the regulatory system, which needs to be solved centrally.",#FDA #additives #USA #GRAS,,true,,EMM,Médiából,,,,,,,,,,Nem ER,,Kiesik 2.,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,,,,,"The issue is not ER, this is a concern of the US food control system.",,2025-04-15 10:00:00+00:00,,,,,"A range of food ingredients and additives can be found on the US market, which have not undergone FDA review and may pose health risks to consumers. It is a problem of the regulatory system, which needs to be solved centrally.",1.2.5 Food additives,2 Food,,,2.1 Composition,,,,,
Burkholderia Risks in Home-Fermented Foods,https://trello.com/c/683ebd2d658aa3ea604d8f53,,,Kémiai veszély,Baktérium,Természetben előforduló toxikus vegyület,"The bacterium Burkholderia cocovenenans produces bongkrekic acid (BA) during fermentation, which impairs mitochondrial ATP production and causes fatal disease in 6-100% of documented cases.",#Burkholderia #home-fermenting #climate change #bongkrekic acid,III. FÁZIS,true,,EREN,Más külföldi intézménytől/szervezettől,,,,3 (nem),4,2,4,3,16,Új veszély,III. FÁZIS,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,,,climate change,,"The bacterium Burkholderia cocovenenans produces bongkrekic acid (BA) during fermentation, which impairs mitochondrial ATP production and causes fatal disease in 6-100% of documented cases. Awareness (both consumer and clinician) is low and detection methods are scarce.",,2025-05-12 10:00:00+00:00,,"Climate change favoring the production of the toxin, and increasing consumer trends towards home-fermentation.",,,"The bacterium Burkholderia cocovenenans produces bongkrekic acid (BA) during fermentation, which impairs mitochondrial ATP production and causes fatal disease in 6-100% of documented cases.",1.2.2.2.1 Bacterial toxins,"2.8 Prepared foods, dishes, snacks and sauces",,,,2 Food,,,"The bacterium Burkholderia cocovenenans produces bongkrekic acid (BA) during fermentation, which impairs mitochondrial ATP production and causes fatal disease in 6-100% of documented cases. Awareness (both consumer and clinician) is low and detection methods are scarce.",
EU bureaucrats spark fury after warning coffee is 'DANGEROUS' to humans and ban caffeine in pesticides,https://trello.com/c/67f4d91d16a43d6959b2b731,,,,Növényvédő szermaradék,Kémiai veszély,"Caffeine is harmful in high doses, however, coffee is a popular drink and has beneficial health effects in moderate amounts.",#caffeine #pesticide #coffee,,true,,EMM,Médiából,,,,,,,,,,Nem ER,,Kiesik 2.,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,,,,,"The EFSA did not support the use of high dose caffeine as a pesticide, and so the Commission did not approve the application.",,2025-03-11 11:00:00+00:00,,,,,"Caffeine is harmful in high doses, however, coffee is a popular drink and has beneficial health effects in moderate amounts.",1.2.3.1 Pesticide residues,2.1.3 Vegetables and vegetabel products,,,,"2.1.4 Tubers, starchy roots and sugar plants",,,,
Citrinins - new detection methods,https://trello.com/c/674306a0bc24863b79096bfa,,,,Kémiai veszély,Mikotoxin,citrinins pose potential health risk due to their suspected carcinogenic properties and toxicity to the kidney and liver.,#citrinin #mycotoxin #analytical challenge #modified forms,,true,,EREN,Más külföldi intézménytől/szervezettől,,,,,,,,,,Új bizonyíték veszély jellemzéséhez,,Több információ szükséges,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,,,climate change,true,"This work adds information on occurrence data of citrinins in real samples. While citrinin is a known toxin, it is yet unclear how the modified forms contribute to the overall health burden.",,2024-10-28 11:00:00+00:00,,,,,citrinins pose potential health risk due to their suspected carcinogenic properties and toxicity to the kidney and liver,1.2.2.2.4 Mycotoxins,2.1 Plants and Food of plant origin,8. Climate change,,,1 Feed,,,,
Threats to the Mercosur agreement,https://trello.com/c/67fcac7c821567abd877352f,,,Baktérium,Vírus,Növényvédő szermaradék,"Hazard Identification:   Presence of pesticide residues (e.g., banned pesticides) in poultry products.    Microbiological hazards such as Salmonella and other pathogens.    Potential contamination with chemical residues like chlorinated chemicals.    Biosecurity threats such as avian influenza virus.   Likelihood of Occurrence:   High likelihood of contaminated poultry shipments due to inadequate controls and inspections in exporting countries.    Increased risk of pathogen transmission due to the volume of imports and safety concerns.   Exposure:   Consumers in the EU exposed through consumption of imported poultry meat.    Workers and handlers may be at risk during processing and transportation.   Severity of Impact:   Food safety hazards can cause foodborne illnesses, impacting public health.    Chemical residues may pose health risks, especially with chronic exposure.    Biosecurity risks like avian influenza could threaten local poultry industries and economies.   Control Measures and Uncertainty:   Inspection and monitoring are challenging to implement on every shipment, leading to uncertainty about the safety of all imported products.    Differences in safety standards and enforcement between exporting and importing countries.   Vulnerabilities:   Increased import volumes from Mercosur countries can overwhelm inspection systems.    Existing sanitary concerns and alerts indicate vulnerabilities in current safety controls.   Potential for Spread:   Pathogens like Salmonella and avian influenza can spread easily through international trade, affecting multiple regions.",#EUMercosurAgreement #PoultrySector #Avianza #FoodSafety #RASFF #BrazilianPoultry #BannedPesticides #Salmonella #AvianInfluenza #EuropeanCommissionAudit #RabobankReport #TradeIncrease #SanitaryControls #LocalProduction #ConsumerHealth #Competitiveness #QualityCertification,,,,EMM,Médiából,Médiamegjelenés,,,,3,3,3,3,12,Ismert veszély és megnövekedett kitettség,,,,,Gazdasági és egészségügyi,,,,,,,2025-04-08 10:00:00+00:00,,,true,,,1.2.3.1 Pesticide residues,3.4 Poultry,2.1 Globalization of trade,,1.3.2.2 Bacteria,,Consumer attitudes,,,
"Anti-cholesterol supplements, the European Commission intervenes: “Limit the dosages, they can give side effects”",https://trello.com/c/63c5be0d6e1f1302ed3a926a,,,,,Kémiai veszély,"Side Effects: Monacolin and lovastatin share the same side effects, which include:    Muscle pain and weakness (myopathy)  Liver damage  Headaches  Gastrointestinal issues  Skin reactions  Problems affecting connective tissue and the nervous system    Lack of Medical Supervision: Since these supplements are available without a prescription, consumers may not receive the necessary medical guidance to identify and manage potential side effects or interactions with other medications.    Dosage Risks: Without regulation, consumers might inadvertently consume doses higher than recommended, increasing the risk of adverse effects. The new regulation aims to mitigate this by limiting daily intake to under 3 mg of monacolin.    Interactions with Other Medications: Monacolin can interact with other drugs, potentially leading to harmful effects, which might not be monitored without medical oversight.    Quality and Consistency: Supplements can vary in monacolin content, leading to inconsistent dosing and effectiveness, unlike prescription medications which have strict quality controls.    The European Commission’s regulation emphasizes the importance of consumer awareness and the need for caution when using these supplements, highlighting the necessity of consulting healthcare professionals.",#anticholesterol#monacolin#lovastatin#EU Commission#new regulation#red yeast rice,,,,EMM,Médiából,Médiamegjelenés,true,,,2,3,3,3,11,Új bizonyíték veszély jellemzéséhez,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,,Egészségügyi,1 év,,,,,,2023-01-10 11:00:00+00:00,,,,,,1.2.2.2 Toxins,"2.6 Food supplements, dietary foods, and fortified foods",3.6 Food fraud,,,,,,,
Bysphenol A new risk assessment,https://trello.com/c/629f429f1fda854c84ab68d8,Kész,,,,,"1.  High exposure levels: Studies conducted in European countries found that exposure to BPA was well above acceptable safety levels, with up to 100% of participants likely being exposed to BPA above safe health levels.     Potential adverse health effects: BPA has been linked to various health concerns, including potential hormone disruption and other adverse effects on human health.",#Bisphenol #bisphenolA #biszfenol,,true,,EREN 2022/II,Más külföldi intézménytől/szervezettől,,true,,,,,,,,,,,,,,6 hónap,,,,,,2022-05-11 10:00:00+00:00,,,,,,,,,,,,,,,
Nitrogen inhibitors,https://trello.com/c/668d1c48a28588f67dc7f590,,,,,Kémiai veszély,"Dual role: Mitigate emissions but introduce new chemical residues.  Variable toxicity: E.g., bromoform (carcinogenic) vs. 3-NOP (low acute toxicity).",,,,,EREN,Más külföldi intézménytől/szervezettől,,,,,2,3,4,4,13,,,,,,,,,,,,,2024-05-23 10:00:00+00:00,,,,,,1.2.2.2 Toxins,1.2 Feed additives,8. Climate change,,,,.2 Industrialisation of agriculture,,,
Increase of fish parasites,https://trello.com/c/60363bd9471b722b407c26e1,Kész,,,,Parazita,"Zoonotic helminth parasite, in humans The larvae penetrate the stomach wall, causing symptoms within minutes or hours of consumption: abdominal pain, nausea, vomiting. A less common parasitic condition is gnathostomiasis, in which the larva wandering in the skin causes symptoms, intestinal capillariasis, and paragonimiasis (lung fluke disease).",#anisakis #parasite #fishparasite #scallop,,true,,EREN short issues 2020 november,Más külföldi intézménytől/szervezettől,Publikáció,,Kommunikáció,1 (igen),3,Nincs elég információ,3,4,11,Ismert veszély és megnövekedett kitettség,III. FÁZIS,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,,,klímaváltozás,true,,2020-11-02T11:00:00.000Z,2020-11-02 11:00:00+00:00,,"klímaváltozás, új gazdaszervezet",,Nébih,,,,,,,,,Kész,,
Shiga Toxin-Producing Escherichia albertii,https://trello.com/c/5e3134f96bd4516943859a07,,Kész (már volt EREN-en),,,Mikrobiológiai veszély,"E. albertii was misidentified as E. coli. Basically this is not a problem, we will identify it because of shiga toxin genes.","STEA, E. albertii, leafy green",,,,IAFP konferencia absztrakt bírálat során jött elő,Konferencián,Nincs,,Kommunikáció,1 (igen),4,Nincs elég információ,Nincs elég információ,3,8,Új veszély,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,6 hónap,,,,"We do not know the growth and mortality parameters of E. allbertii, its pathogenicity, it has been classified as emerging issuen by EREN",2020-03-01T11:00:00.000Z,2020-01-30 11:00:00+00:00,,"We do not know the growth and mortality parameters of E. allbertii, its pathogenicity, it has been classified as emerging issuen by EREN",,,,,,,,,,,Kész,"Not enough info, we need data on occurrence, route of infection and the microbe itself.",
